Participant_ID,corrp,treatment,sex,age,age_quart,residence,party_affiliation,pol_ideo,edu,income
1,1,0,1,55,5,15,1,3,4,3
2,3,0,1,50,5,12,1,1,4,10
3,3,0,1,60,6,14,1,3,4,4
4,3,0,2,40,4,1,7,3,4,7
5,2,0,2,35,3,1,1,3,3,5
6,4,0,1,35,3,4,1,3,3,4
7,3,0,2,51,5,8,1,3,4,6
8,1,0,2,51,5,8,7,3,2,3
9,1,0,1,46,4,8,1,2,5,9
10,4,0,2,41,4,8,1,2,2,5
11,4,0,2,49,4,8,1,4,4,6
12,2,0,2,30,3,1,1,2,3,3
13,3,0,2,50,5,8,7,4,4,7
14,2,0,1,62,6,1,2,5,2,4
15,1,0,1,49,4,1,5,3,5,10
16,4,0,1,47,4,6,1,2,4,5
17,3,0,2,42,4,1,1,2,4,5
18,5,0,2,54,5,2,7,3,2,4
19,4,0,1,29,2,12,7,3,4,7
20,4,0,2,58,5,8,1,2,3,3
21,3,0,1,32,3,8,1,3,4,3
22,4,0,1,33,3,1,1,3,5,4
23,3,0,1,27,2,8,2,5,4,3
24,4,0,1,39,3,4,1,2,4,5
25,2,0,2,62,6,2,7,3,2,1
26,3,0,1,61,6,1,7,4,5,2
27,3,0,1,43,4,6,1,2,3,4
28,1,0,2,28,2,4,7,2,3,4
29,4,0,1,42,4,3,7,4,4,6
30,3,0,1,48,4,15,7,3,4,10
31,2,0,1,60,6,8,7,3,4,4
32,4,0,2,45,4,1,1,2,4,5
33,3,0,1,56,5,8,7,3,3,5
34,3,0,2,36,3,1,1,3,4,3
35,3,0,1,37,3,1,1,2,3,5
36,2,0,2,33,3,2,7,3,4,5
37,3,0,2,29,2,1,7,4,3,3
38,3,0,1,65,6,1,7,3,4,3
39,3,0,1,35,3,1,7,3,4,1
40,1,0,2,58,5,1,7,4,2,4
41,4,0,2,29,2,4,1,2,4,4
42,2,0,1,46,4,8,1,2,4,4
43,3,0,1,46,4,8,1,2,4,4
44,4,0,2,41,4,4,1,4,4,5
45,3,0,2,38,3,5,2,3,2,5
46,5,0,1,60,6,1,7,3,5,10
47,4,0,1,47,4,8,1,2,4,8
48,2,0,1,42,4,8,7,4,4,2
49,1,0,1,39,3,1,7,2,4,4
50,4,0,1,55,5,8,1,3,4,8
51,3,0,2,31,3,8,2,4,2,3
52,4,0,1,49,4,2,1,3,4,6
53,3,0,1,63,6,8,7,3,4,5
54,4,0,1,50,5,8,7,3,2,6
55,4,0,2,51,5,2,3,4,2,3
56,1,0,1,62,6,8,2,4,4,4
57,2,0,1,61,6,8,7,4,4,5
58,4,0,1,52,5,8,3,3,5,10
59,1,0,1,56,5,8,7,3,4,4
60,3,0,2,30,3,12,1,2,4,2
61,4,0,1,58,5,4,1,2,4,4
62,1,0,2,57,5,3,7,4,4,4
63,3,0,1,69,6,1,7,3,4,2
64,4,0,1,53,5,14,1,2,4,3
65,3,0,1,62,6,14,7,3,2,1
66,3,0,1,45,4,17,7,3,5,10
67,2,0,1,26,2,1,5,2,2,1
68,4,0,1,47,4,2,1,2,4,4
69,2,0,2,63,6,12,2,3,5,5
70,3,0,2,34,3,8,1,2,5,5
71,3,0,2,61,6,3,1,3,2,3
72,2,0,2,32,3,11,7,2,4,8
73,4,0,1,53,5,8,7,2,4,5
74,3,0,2,45,4,8,1,3,4,4
75,4,0,2,64,6,9,1,3,4,1
76,3,0,1,69,6,1,7,4,3,2
77,3,0,2,51,5,8,1,3,3,1
78,1,0,2,21,2,14,1,2,2,1
79,4,0,2,38,3,9,1,3,4,3
80,1,0,2,50,5,8,7,3,3,5
81,1,0,1,15,1,3,7,4,1,1
82,3,0,1,62,6,4,2,3,4,5
83,4,0,1,64,6,2,1,2,4,2
84,3,0,1,61,6,1,7,3,5,4
85,1,0,2,23,2,4,1,4,2,3
86,1,0,2,26,2,4,1,3,3,3
87,3,0,2,31,3,8,1,3,5,2
88,1,0,1,54,5,8,7,3,5,9
89,3,0,2,41,4,4,7,2,3,5
90,3,0,1,57,5,4,7,3,3,5
91,2,0,1,17,1,1,2,1,1,1
92,3,0,2,44,4,8,7,3,4,5
