Sequence,Q1,Q2_1,Q3,Q4,Q5,Q6,Q7,Q8,Q8_6,Q9,Q10,Q11
1,1,55,5,8,4,1,1,1,,3,4,3
2,1,50,5,15,4,3,1,1,,1,4,10
3,1,60,6,12,3,3,2,1,,3,4,4
4,2,40,4,14,3,3,2,7,,3,4,7
5,2,35,3,1,2,2,2,1,,3,3,5
6,1,35,3,1,2,4,2,1,,3,3,4
7,2,51,5,4,3,3,2,1,,3,4,6
8,2,51,5,8,3,1,1,7,,3,2,3
9,1,46,4,8,4,1,2,1,,2,5,9
10,2,41,4,8,3,4,1,1,,2,2,5
11,2,49,4,8,2,4,2,1,,4,4,6
12,2,30,3,8,2,2,2,1,,2,3,3
13,2,50,5,1,4,3,2,7,,4,4,7
14,1,62,6,8,2,2,2,2,,5,2,4
15,1,49,4,1,3,1,1,5,,3,5,10
16,1,47,4,1,2,4,2,1,,2,4,5
17,2,42,4,6,3,3,2,1,,2,4,5
18,2,54,5,1,4,5,1,7,,3,2,4
19,1,29,2,2,3,4,3,7,,3,4,7
20,2,58,5,12,3,4,2,1,,2,3,3
21,1,32,3,8,2,3,3,1,,3,4,3
22,1,33,3,8,4,4,1,1,,3,5,4
23,1,27,2,1,3,3,2,2,,5,4,3
24,1,39,3,8,4,4,1,1,,2,4,5
25,2,62,6,4,3,2,1,7,,3,2,1
26,1,61,6,2,2,3,2,7,,4,5,2
27,1,43,4,1,3,3,2,1,,2,3,4
28,2,28,2,6,3,1,1,7,,2,3,4
29,1,42,4,4,3,4,2,7,,4,4,6
30,1,48,4,3,3,3,2,7,,3,4,10
31,1,60,6,15,3,2,2,7,,3,4,4
32,2,45,4,8,3,4,2,1,,2,4,5
33,1,56,5,1,4,3,2,7,,3,3,5
34,2,36,3,8,2,3,2,1,,3,4,3
35,1,37,3,1,2,3,2,1,,2,3,5
36,2,33,3,1,2,2,3,7,,3,4,5
37,2,29,2,2,3,3,2,7,,4,3,3
38,1,65,6,1,4,3,2,7,,3,4,3
39,1,35,3,1,3,3,2,7,,3,4,1
40,2,58,5,1,3,1,2,7,,4,2,4
41,2,29,2,1,3,4,2,1,,2,4,4
42,1,46,4,4,3,2,2,1,,2,4,4
43,1,46,4,8,3,3,2,1,,2,4,4
44,2,41,4,8,3,4,1,1,,4,4,5
46,2,38,3,4,3,3,3,2,,3,2,5
47,1,60,6,5,4,5,3,7,,3,5,10
49,1,47,4,1,4,4,1,1,,2,4,8
50,1,42,4,8,3,2,2,7,,4,4,2
51,1,39,3,8,3,1,1,7,,2,4,4
52,1,55,5,1,3,4,3,1,,3,4,8
53,2,31,3,8,3,3,2,2,,4,2,3
54,1,49,4,8,4,4,1,1,,3,4,6
55,1,63,6,2,3,3,2,7,,3,4,5
56,1,50,5,8,2,4,2,7,,3,2,6
57,2,51,5,8,2,4,2,3,,4,2,3
58,1,62,6,2,4,1,1,2,,4,4,4
59,1,61,6,8,3,2,2,7,,4,4,5
60,1,52,5,8,3,4,2,3,,3,5,10
61,1,56,5,8,3,1,1,7,,3,4,4
62,2,30,3,8,4,3,2,1,,2,4,2
63,1,58,5,12,3,4,2,1,,2,4,4
64,2,57,5,4,3,1,3,7,,4,4,4
65,1,69,6,3,2,3,4,7,,3,4,2
66,1,53,5,1,3,4,2,1,,2,4,3
67,1,62,6,14,2,3,2,7,,3,2,1
68,1,45,4,14,2,3,2,7,,3,5,10
69,1,26,2,17,3,2,1,5,,2,2,1
70,1,47,4,1,3,4,3,1,,2,4,4
71,2,63,6,2,2,2,2,2,,3,5,5
72,2,34,3,12,2,3,3,1,,2,5,5
73,2,61,6,8,3,3,2,1,,3,2,3
74,2,32,3,3,3,2,2,7,,2,4,8
75,1,53,5,11,3,4,2,7,,2,4,5
76,2,45,4,8,3,3,2,1,,3,4,4
77,2,64,6,8,4,4,1,1,,3,4,1
78,1,69,6,9,3,3,1,7,,4,3,2
79,2,51,5,1,2,3,1,1,,3,3,1
80,2,21,2,8,4,1,1,1,,2,2,1
82,2,38,3,14,3,4,3,1,,3,4,3
83,2,50,5,9,4,1,1,7,,3,3,5
84,1,15,1,8,4,1,1,7,,4,1,1
87,1,62,6,3,2,3,2,2,,3,4,5
88,1,64,6,4,4,4,1,1,,2,4,2
89,1,61,6,2,3,3,2,7,,3,5,4
90,2,23,2,1,2,1,1,1,,4,2,3
91,2,26,2,4,4,1,1,1,,3,3,3
92,2,31,3,4,2,3,2,1,,3,5,2
93,1,54,5,8,2,1,2,7,,3,5,9
94,2,41,4,8,4,3,2,7,,2,3,5
95,1,57,5,4,2,3,2,7,,3,3,5
96,1,17,1,4,3,2,2,2,,1,1,1
97,2,44,4,1,3,3,2,7,,3,4,5
98,1,48,4,8,3,3,3,1,,2,4,6
99,2,61,6,1,3,3,2,1,,2,2,5
100,2,17,1,2,3,2,1,1,,3,2,1
101,1,34,3,8,2,4,2,1,,2,5,4
102,1,50,5,10,2,3,2,7,,4,4,5
103,1,47,4,8,4,2,2,5,,1,3,6
104,1,47,4,8,2,3,3,2,,5,3,4
105,1,39,3,8,4,2,2,7,,4,5,5
106,1,48,4,3,3,4,2,7,,3,3,3
107,2,24,2,4,3,3,2,7,,2,4,8
108,1,52,5,5,2,3,3,1,,2,4,4
109,1,16,1,8,4,4,1,1,,4,1,1
110,1,61,6,9,4,3,1,7,,2,5,6
111,2,23,2,10,3,2,2,1,,4,3,1
112,2,63,6,8,4,1,2,7,,3,2,2
113,2,56,5,9,3,1,1,1,,3,4,3
114,2,33,3,1,3,1,2,7,,3,2,1
115,2,18,1,8,2,2,2,7,,3,2,1
116,2,18,1,5,3,3,2,7,,3,1,3
117,1,63,6,8,3,4,1,1,,2,2,4
118,1,64,6,15,2,3,3,2,,4,4,4
119,2,46,4,8,3,3,2,7,,2,3,3
120,1,21,2,1,3,4,2,7,,2,2,1
