Sequence,Q1,Q2_1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q9_6,Q10,Q11,Q12
1,2,40,4,5,3,4,2,4,1,,2,3,2
2,2,38,3,1,2,4,2,2,1,,2,3,3
3,1,56,5,8,3,3,1,4,1,,3,4,3
4,1,37,3,1,3,4,1,5,1,,3,4,5
5,1,54,5,1,2,3,3,3,6,대한애국당,4,4,6
6,1,45,4,8,3,4,2,5,5,,3,4,7
7,1,62,6,1,3,4,2,2,7,,3,5,10
8,2,55,5,8,2,4,3,5,2,,3,5,10
9,1,65,6,1,3,3,2,3,7,,4,4,5
10,2,47,4,1,4,1,1,5,1,,1,4,8
11,1,65,6,3,3,3,1,3,2,,5,2,3
12,1,62,6,8,2,4,1,2,1,,4,5,6
13,1,63,6,4,3,3,2,3,5,,3,2,2
14,2,40,4,1,3,3,3,3,1,,4,4,5
15,1,59,5,11,2,4,2,4,1,,2,4,6
16,2,27,2,8,3,3,2,4,1,,2,4,1
17,2,32,3,12,4,4,1,5,1,,1,3,2
18,1,58,5,8,3,3,2,3,2,,3,4,6
19,2,53,5,1,3,3,2,3,7,,3,4,5
20,1,41,4,8,2,1,2,2,3,,4,4,5
21,1,51,5,2,2,1,2,5,7,,3,4,6
22,2,51,5,1,3,2,2,1,1,,2,4,2
23,1,53,5,8,2,4,2,4,5,,1,4,7
24,1,50,5,8,3,2,2,3,2,,4,2,5
25,1,42,4,4,3,3,2,2,1,,3,3,3
26,1,45,4,2,2,2,2,4,7,,3,3,4
27,1,66,6,1,2,4,2,4,7,,3,4,4
28,2,61,6,8,3,5,1,5,1,,2,2,3
29,2,50,5,8,2,2,3,3,1,,3,2,3
30,1,32,3,8,3,3,3,3,7,,3,2,3
31,2,33,3,8,2,3,1,5,7,,3,4,2
32,1,37,3,8,3,3,2,5,5,,3,5,5
33,2,60,6,2,3,4,2,2,1,,3,4,6
34,1,54,5,1,2,3,3,2,7,,3,2,5
35,1,25,2,10,3,2,2,5,7,,3,4,2
36,2,45,4,9,4,4,1,2,5,,3,4,4
37,2,48,4,8,4,3,2,4,1,,2,2,7
38,1,61,6,4,3,3,2,3,7,,4,4,1
40,1,59,5,8,2,3,2,3,1,,3,2,2
41,2,30,3,9,3,1,1,5,1,,3,4,2
42,2,53,5,1,2,3,2,3,7,,3,3,5
43,2,35,3,1,3,3,2,5,7,,3,4,3
44,2,59,5,2,3,4,1,2,7,,3,1,3
45,2,26,2,3,4,4,1,4,7,,3,4,3
